"cause_name","sex","age","deaths"
"Acute glomerulonephritis","Female","10 to 14",124.39528876019
"Acute glomerulonephritis","Female","15 to 19",102.61632595444
"Acute glomerulonephritis","Female","20 to 24",118.13776289558
"Acute glomerulonephritis","Female","25 to 29",98.967792310238
"Acute glomerulonephritis","Female","30 to 34",94.635643177509
"Acute glomerulonephritis","Female","35 to 39",104.73446020842
"Acute glomerulonephritis","Female","40 to 44",115.13698545265
"Acute glomerulonephritis","Female","45 to 49",127.76944711876
"Acute glomerulonephritis","Female","5 to 9",125.57329635811
"Acute glomerulonephritis","Female","50 to 54",93.464426707268
"Acute glomerulonephritis","Female","55 to 59",128.53632653046
"Acute glomerulonephritis","Female","60 to 64",162.09269949913
"Acute glomerulonephritis","Female","65 to 69",169.56091666985
"Acute glomerulonephritis","Female","70 to 74",141.86539542007
"Acute glomerulonephritis","Female","75 to 79",126.06118184471
"Acute glomerulonephritis","Female","80 plus",211.07414349651
"Acute glomerulonephritis","Female","Under 5",414.08175160527
"Acute glomerulonephritis","Male","10 to 14",150.5546570034
"Acute glomerulonephritis","Male","15 to 19",99.492545283318
"Acute glomerulonephritis","Male","20 to 24",143.12495539856
"Acute glomerulonephritis","Male","25 to 29",127.67768889713
"Acute glomerulonephritis","Male","30 to 34",130.95740829277
"Acute glomerulonephritis","Male","35 to 39",154.2319685688
"Acute glomerulonephritis","Male","40 to 44",156.12818226337
"Acute glomerulonephritis","Male","45 to 49",212.43744022751
"Acute glomerulonephritis","Male","5 to 9",134.5163317728
"Acute glomerulonephritis","Male","50 to 54",141.01371498871
"Acute glomerulonephritis","Male","55 to 59",182.82312421131
"Acute glomerulonephritis","Male","60 to 64",204.05881724644
"Acute glomerulonephritis","Male","65 to 69",199.08940501595
"Acute glomerulonephritis","Male","70 to 74",172.35541020203
"Acute glomerulonephritis","Male","75 to 79",150.93661662388
"Acute glomerulonephritis","Male","80 plus",210.06036471462
"Acute glomerulonephritis","Male","Under 5",550.55940220547
"Adverse effects of medical treatment","Female","10 to 14",73.503704601765
"Adverse effects of medical treatment","Female","15 to 19",174.03000033855
"Adverse effects of medical treatment","Female","20 to 24",235.52014740658
"Adverse effects of medical treatment","Female","25 to 29",1391.7554663219
"Adverse effects of medical treatment","Female","30 to 34",1061.37705476
"Adverse effects of medical treatment","Female","35 to 39",689.23857573319
"Adverse effects of medical treatment","Female","40 to 44",1079.7366660595
"Adverse effects of medical treatment","Female","45 to 49",794.95499529839
"Adverse effects of medical treatment","Female","5 to 9",102.42229514742
"Adverse effects of medical treatment","Female","50 to 54",696.52880618668
"Adverse effects of medical treatment","Female","55 to 59",2864.266368145
"Adverse effects of medical treatment","Female","60 to 64",1348.3630007114
"Adverse effects of medical treatment","Female","65 to 69",1809.8706797504
"Adverse effects of medical treatment","Female","70 to 74",1175.2865668602
"Adverse effects of medical treatment","Female","75 to 79",567.37425903702
"Adverse effects of medical treatment","Female","80 plus",1107.3235316086
"Adverse effects of medical treatment","Female","Under 5",3064.938438318
"Adverse effects of medical treatment","Male","10 to 14",210.00988479996
"Adverse effects of medical treatment","Male","15 to 19",227.27887126064
"Adverse effects of medical treatment","Male","20 to 24",559.73455867386
"Adverse effects of medical treatment","Male","25 to 29",711.64145724106
"Adverse effects of medical treatment","Male","30 to 34",305.2101907692
"Adverse effects of medical treatment","Male","35 to 39",769.5113647995
"Adverse effects of medical treatment","Male","40 to 44",840.12956246185
"Adverse effects of medical treatment","Male","45 to 49",896.04423601532
"Adverse effects of medical treatment","Male","5 to 9",445.59829208851
"Adverse effects of medical treatment","Male","50 to 54",1052.1939391403
"Adverse effects of medical treatment","Male","55 to 59",1158.8705054436
"Adverse effects of medical treatment","Male","60 to 64",753.09248749542
"Adverse effects of medical treatment","Male","65 to 69",726.01090436554
"Adverse effects of medical treatment","Male","70 to 74",448.99952802467
"Adverse effects of medical treatment","Male","75 to 79",716.27283556366
"Adverse effects of medical treatment","Male","80 plus",1252.0786228943
"Adverse effects of medical treatment","Male","Under 5",5409.8717425008
"Alcohol use disorders","Female","10 to 14",NA
"Alcohol use disorders","Female","15 to 19",57.298486891389
"Alcohol use disorders","Female","20 to 24",49.048248412609
"Alcohol use disorders","Female","25 to 29",46.07330014652
"Alcohol use disorders","Female","30 to 34",37.391478321433
"Alcohol use disorders","Female","35 to 39",43.991230726779
"Alcohol use disorders","Female","40 to 44",38.137581584036
"Alcohol use disorders","Female","45 to 49",36.339800423384
"Alcohol use disorders","Female","5 to 9",NA
