"cause_name","sex","age","ylds"
"Acute glomerulonephritis","Female","10 to 14",28.070974342379
"Acute glomerulonephritis","Female","15 to 19",13.283560505729
"Acute glomerulonephritis","Female","20 to 24",10.000977031146
"Acute glomerulonephritis","Female","25 to 29",8.9678675606913
"Acute glomerulonephritis","Female","30 to 34",7.7472618597075
"Acute glomerulonephritis","Female","35 to 39",6.5537707294436
"Acute glomerulonephritis","Female","40 to 44",6.4247473329739
"Acute glomerulonephritis","Female","45 to 49",7.4771593618261
"Acute glomerulonephritis","Female","5 to 9",36.781261428626
"Acute glomerulonephritis","Female","50 to 54",7.9881908916913
"Acute glomerulonephritis","Female","55 to 59",8.0896551969262
"Acute glomerulonephritis","Female","60 to 64",7.4950553629161
"Acute glomerulonephritis","Female","65 to 69",6.4141271034376
"Acute glomerulonephritis","Female","70 to 74",5.5692270925885
"Acute glomerulonephritis","Female","75 to 79",4.1439819852218
"Acute glomerulonephritis","Female","80 plus",3.7690322252884
"Acute glomerulonephritis","Female","Under 5",63.437700317641
"Acute glomerulonephritis","Male","10 to 14",39.615905367615
"Acute glomerulonephritis","Male","15 to 19",18.298411251303
"Acute glomerulonephritis","Male","20 to 24",14.090316194499
"Acute glomerulonephritis","Male","25 to 29",12.573025386904
"Acute glomerulonephritis","Male","30 to 34",10.897286652067
"Acute glomerulonephritis","Male","35 to 39",9.2319393604151
"Acute glomerulonephritis","Male","40 to 44",9.2896669979847
"Acute glomerulonephritis","Male","45 to 49",11.188774963683
"Acute glomerulonephritis","Male","5 to 9",51.67597377688
"Acute glomerulonephritis","Male","50 to 54",12.136256609755
"Acute glomerulonephritis","Male","55 to 59",12.360208024264
"Acute glomerulonephritis","Male","60 to 64",11.031031743451
"Acute glomerulonephritis","Male","65 to 69",8.601489715658
"Acute glomerulonephritis","Male","70 to 74",6.9968747453719
"Acute glomerulonephritis","Male","75 to 79",4.8393316314346
"Acute glomerulonephritis","Male","80 plus",4.0890116926801
"Acute glomerulonephritis","Male","Under 5",94.134566947651
